zone_id,detection_id,class_id,class_label,confidence,bbox_x,bbox_y,bbox_w,bbox_h,area_px,contour_fill_ratio
Z07,5,3,Chlorosis_Yellow,0.4271,307,0,226,400,11428,0.1264
Z07,6,0,General_Lesion,0.407,110,0,153,337,16866,0.3271
Z08,1,3,Chlorosis_Yellow,0.5903,69,333,32,33,438,0.4152
Z08,2,3,Chlorosis_Yellow,0.5124,189,275,36,24,258,0.2986
Z08,3,0,General_Lesion,0.4465,224,256,197,144,12483,0.4401
Z08,4,0,General_Lesion,0.4391,31,246,21,22,193,0.4188
Z08,5,3,Chlorosis_Yellow,0.4419,0,223,198,99,3212,0.1639
Z08,6,3,Chlorosis_Yellow,0.5643,283,190,33,28,205,0.2219
Z08,7,2,LeafSpot_Brown,0.6122,322,182,111,28,766,0.2466
Z08,8,2,LeafSpot_Brown,0.5411,437,168,96,35,558,0.1661
Z08,9,2,LeafSpot_Brown,0.515,126,164,58,60,504,0.145
Z08,10,2,LeafSpot_Brown,0.6173,88,139,33,24,233,0.2948
Z08,11,3,Chlorosis_Yellow,0.5271,0,64,65,109,2117,0.2988
Z08,12,0,General_Lesion,0.3763,337,3,41,33,324,0.2395
Z08,13,0,General_Lesion,0.45,295,0,238,164,19006,0.4869
Z08,14,3,Chlorosis_Yellow,0.4861,87,0,32,22,177,0.2514
Z08,15,2,LeafSpot_Brown,0.659,38,0,46,26,361,0.3023
Z09,1,2,LeafSpot_Brown,0.6533,86,376,53,24,551,0.4332
Z09,2,2,LeafSpot_Brown,0.6112,22,373,25,27,246,0.3644
Z09,3,2,LeafSpot_Brown,0.4757,58,350,29,50,308,0.2128
Z09,4,2,LeafSpot_Brown,0.5552,86,328,34,47,508,0.3182
Z09,5,3,Chlorosis_Yellow,0.6732,314,322,30,32,407,0.424
Z09,6,0,General_Lesion,0.3834,23,274,69,42,753,0.2598
Z09,7,3,Chlorosis_Yellow,0.5643,500,273,34,46,458,0.2928
Z09,8,3,Chlorosis_Yellow,0.5128,0,252,36,36,364,0.2812
Z09,9,3,Chlorosis_Yellow,0.5342,304,235,26,40,315,0.3029
Z09,10,3,Chlorosis_Yellow,0.6688,198,196,27,36,421,0.4336
Z09,11,2,LeafSpot_Brown,0.5193,474,187,33,30,270,0.2727
Z09,12,3,Chlorosis_Yellow,0.5721,45,176,54,96,1760,0.3396
Z09,13,3,Chlorosis_Yellow,0.6619,148,167,42,17,288,0.4034
Z09,14,2,LeafSpot_Brown,0.4857,322,160,130,240,4013,0.1286
Z09,15,0,General_Lesion,0.4091,13,57,43,23,329,0.3332
Z09,16,0,General_Lesion,0.416,0,51,30,49,518,0.3527
Z09,17,2,LeafSpot_Brown,0.6258,457,0,77,147,6896,0.6093
Z09,18,2,LeafSpot_Brown,0.6242,64,0,272,173,18684,0.3971
