zone_id,grid_row,grid_col,composite_score,score_p5,score_p95,severity_label,stress_pixels_pct,vegetation_pixels_pct,color_bgr
Z01,0,0,0.6046,0.5016,0.6786,MILD_STRESS,36.67,95.66,"[43, 219, 255]"
Z02,0,1,0.5416,0.4905,0.6377,MODERATE_STRESS,80.76,81.71,"[32, 128, 255]"
Z03,0,2,0.5428,0.4893,0.6213,MODERATE_STRESS,81.76,86.03,"[32, 128, 255]"
Z04,1,0,0.5969,0.4988,0.6713,MODERATE_STRESS,41.43,94.37,"[32, 128, 255]"
Z05,1,1,0.5133,0.4862,0.6236,MODERATE_STRESS,93.42,55.01,"[32, 128, 255]"
Z06,1,2,0.5051,0.4855,0.5318,MODERATE_STRESS,99.31,60.09,"[32, 128, 255]"
Z07,2,0,0.5956,0.499,0.6676,MODERATE_STRESS,41.99,94.08,"[32, 128, 255]"
Z08,2,1,0.5277,0.485,0.6384,MODERATE_STRESS,85.03,58.73,"[32, 128, 255]"
Z09,2,2,0.5516,0.4875,0.6569,MODERATE_STRESS,69.95,72.23,"[32, 128, 255]"
