zone_id,grid_row,grid_col,severity_index,getis_ord_gistar_z,hotspot_class,spread_risk_index,neighbor_weighted_severity,adjacent_zone_count
Z01,0,0,0.7684,-0.0451,NEUTRAL,0.7365,0.7153,5
Z02,0,1,0.7804,0.0057,NEUTRAL,0.7593,0.7453,5
Z03,0,2,0.77,-0.0635,COLDSPOT_MODERATE,0.7307,0.7044,5
Z04,1,0,0.7311,-0.0649,COLDSPOT_MODERATE,0.7185,0.7102,5
Z05,1,1,0.7403,0.0629,HOTSPOT_MODERATE,0.7597,0.7726,5
Z06,1,2,0.6832,0.0746,HOTSPOT_HIGH,0.7403,0.7784,5
Z07,2,0,0.6515,-0.0054,NEUTRAL,0.7038,0.7387,5
Z08,2,1,0.7653,0.0107,HOTSPOT_MODERATE,0.755,0.7482,5
Z09,2,2,0.7869,-0.0693,COLDSPOT_HIGH,0.7354,0.701,5
